"CatererFirstName","CatererLastName","CatererPassword","CatererID","CatererPhoneNumber","CatererEmailAddress"
"John","Doe","$Cg@1","2468","555-555-5555 ext 555","john@CC.com"
"Jane","Smith","@Ab1c","1357","732-123-1307 ext 456","jane@google.com"
"Drake","Graham","#Xy2z","3698","908-987-4543 ext 789","drake@ovo.com"
"Cashmere","Cobain","!Pq3r","7412","777-777-7777 ext 321","cashcobain@aol.com"
"David","Larski","&Mn4o","9632","213-369-2580 ext 654","david@gmail.com"
"Emily","Davis","*Ef5g","1478","888-147-2590 ext 987","emily@gmail.com"
"Robert","Dill","%Hi6j","2589","800-258-9630 ext 159","robert@icloud.com"
"Lisa","Williams","^Kl7m","3691","855-369-1470 ext 753","lisa@aim.com"
"Oprah","Winfrey","(No8p","7539","925-753-9514 ext 486","oprah@me.com"
"Jennifer","Taylor",")Qr9s","8520","555-852-0799 ext 258","jennifer@icloud.com"
