"ClientStreetNumber","ClientStreetName","ClientCity","ClientState","ClientZipCode","ClientPhoneNumber","ClientID"
"23","Elm Street","Newark","NJ","7102","732-987-2391 ext 231","4033"
"145","Pine Avenue","Clifton","NJ","7012","908-232-4342 ext 111","7092"
"78","Maple Drive","Jersey City","NJ","7305","888-022-1241 ext 823","2318"
"412","Oakwood Lane","Hoboken","NJ","7030","908-231-3152 ext 952","6289"
"56","River Road","Paterson","NJ","7501","732-313-7646 ext 141","9829"
"389","Garden Street","Elizabeth","NJ","7201","712-232-5213 ext 931","8231"
"217","Highland Avenue","Montclair","NJ","7042","908-232-6266 ext 552","1199"
"64","Lincoln Boulevard","Bloomfield","NJ","7003","777-231-1414 ext 320","9444"
"501","Summit Avenue","Hackensack","NJ","7003","732-925-4711 ext 167","2410"
"134","Washington Place","Passaic","NJ","7055","213-222-9425 ext 515","9753"
"581","Main Street","Woodbridge","NJ","7095","123-456-7890 ext 231","4424"
"101","Mystery Street","Mystery City","NJ","7777","123-421-3423 ext 241","1109"
"999","Magic Place","Wonders","VA","1932","999-888-7777 ext 666","7777"
"197328","Juniper","Drive","CA","12032","302-938-1938 ext 587","2462"
"323","MLK Blvd","Newark","NJ","7102","666-555-7777 ext 909","2960"
"998","Testing Road","Testing","VA","30841","121-434-1263 ext 213","2323"
"323","MLK Blvd","Newark","NJ","7102","000-000-0000 ext 111","2960"
"320","Hillcrest Avenue","Tonawanda","NY","14150","888-523-1231 ext 231","6446"
